critic_review_id,critic_id,movie_id,score_100,letter_grade,review_title,review_text,reviewed_at,verdict,recommended,top_pick
CRV00054,CRT005,MOV0151,89,A-,Amber Circuit Archive: a confident drama achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2019-12-28T05:04:03Z,positive,true,false
CRV00055,CRT005,MOV0171,68,C+,"Winter Atlas Archive: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2021-08-21T21:28:19Z,mixed,false,false
CRV00056,CRT005,MOV0115,75,B,"Novafield Garden: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2016-07-27T18:25:47Z,mixed,true,false
CRV00057,CRT005,MOV0103,79,B,"Tidal Ember Voyage: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2014-05-04T11:18:16Z,mixed,true,false
CRV00058,CRT005,MOV0030,52,D,Moonforge Crossing: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2018-10-30T02:43:50Z,negative,false,false
CRV00059,CRT005,MOV0188,64,C,"Jade Frequency Constellation: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2008-08-10T08:11:45Z,mixed,false,false
CRV00060,CRT005,MOV0029,96,A+,Moonforge Reverie: a confident fantasy achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2006-09-27T07:23:23Z,positive,true,true
CRV00061,CRT005,MOV0012,49,D,Velora Signal: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2013-12-24T19:59:21Z,negative,false,false
CRV00062,CRT005,MOV0112,98,A+,Novafield Signal: a confident comedy achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2004-04-02T05:11:30Z,positive,true,true
CRV00063,CRT005,MOV0143,63,C,"Silver Meridian Voyage: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2015-11-07T21:05:34Z,mixed,false,false
CRV00064,CRT005,MOV0162,53,D,Hollow Prism Signal: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2022-03-01T19:44:15Z,negative,false,false
CRV00065,CRT005,MOV0099,79,B,"Ravenspire Reverie: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2021-08-01T12:46:52Z,mixed,true,false
CRV00066,CRT006,MOV0123,78,B,"Kestrel Dawn Voyage: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2021-09-21T05:26:13Z,mixed,true,false
CRV00067,CRT006,MOV0143,55,C-,Silver Meridian Voyage: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2017-12-31T01:16:52Z,negative,false,false
CRV00068,CRT006,MOV0155,81,B+,Amber Circuit Garden: a confident romance achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2014-03-22T09:31:45Z,positive,true,false
CRV00069,CRT006,MOV0109,59,C-,Tidal Ember Reverie: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2021-01-10T19:56:44Z,negative,false,false
CRV00070,CRT006,MOV0060,53,D,Nimbria Crossing: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2019-06-04T15:28:57Z,negative,false,false
CRV00071,CRT006,MOV0125,70,B-,"Kestrel Dawn Garden: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2021-12-05T06:56:56Z,mixed,true,false
CRV00072,CRT006,MOV0156,75,B,"Amber Circuit Paradox: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2023-10-21T09:38:41Z,mixed,true,false
CRV00073,CRT006,MOV0019,85,A-,Velora Reverie: a confident fantasy achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2021-06-08T20:43:28Z,positive,true,false
CRV00074,CRT006,MOV0159,97,A+,Amber Circuit Reverie: a confident fantasy achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2018-05-30T21:21:48Z,positive,true,true
CRV00075,CRT006,MOV0186,62,C,"Jade Frequency Paradox: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2023-03-15T23:23:31Z,mixed,false,false
CRV00076,CRT006,MOV0088,54,D,Lumenward Constellation: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2024-06-21T14:30:56Z,negative,false,false
CRV00077,CRT006,MOV0104,83,B+,Tidal Ember Protocol: a confident science fiction achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2026-07-11T09:57:36Z,positive,true,false
CRV00078,CRT006,MOV0170,58,C-,Hollow Prism Crossing: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2023-04-02T19:16:40Z,negative,false,false
CRV00079,CRT007,MOV0125,74,B-,"Kestrel Dawn Garden: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2024-02-24T17:42:04Z,mixed,true,false
CRV00080,CRT007,MOV0090,60,C,"Lumenward Crossing: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2019-05-27T03:31:26Z,mixed,false,false
CRV00081,CRT007,MOV0044,86,A-,Solivane Protocol: a confident science fiction achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2023-09-20T00:12:56Z,positive,true,false
CRV00082,CRT007,MOV0012,61,C,"Velora Signal: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2005-02-01T07:22:11Z,mixed,false,false
CRV00083,CRT007,MOV0177,55,C-,Winter Atlas Chronicle: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2024-07-21T19:16:53Z,negative,false,false
CRV00084,CRT007,MOV0128,65,C+,"Kestrel Dawn Constellation: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2021-05-08T04:55:20Z,mixed,false,false
CRV00085,CRT007,MOV0109,69,C+,"Tidal Ember Reverie: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2018-10-30T11:00:09Z,mixed,false,false
CRV00086,CRT007,MOV0086,75,B,"Lumenward Paradox: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2023-07-19T23:42:31Z,mixed,true,false
CRV00087,CRT007,MOV0105,71,B-,"Tidal Ember Garden: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2014-04-07T02:23:58Z,mixed,true,false
CRV00088,CRT007,MOV0020,55,C-,Velora Crossing: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2023-10-31T06:52:55Z,negative,false,false
CRV00089,CRT007,MOV0013,86,A-,Velora Voyage: a confident thriller achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2012-06-11T01:03:34Z,positive,true,false
CRV00090,CRT007,MOV0139,55,C-,Morrowglass Reverie: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2022-02-04T18:51:51Z,negative,false,false
CRV00091,CRT007,MOV0050,64,C,"Solivane Crossing: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2026-02-23T17:21:18Z,mixed,false,false
CRV00092,CRT008,MOV0083,74,B-,"Lumenward Voyage: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2019-11-10T17:55:30Z,mixed,true,false
CRV00093,CRT008,MOV0064,66,C+,"Orion Vale Protocol: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2026-03-01T20:57:33Z,mixed,false,false
CRV00094,CRT008,MOV0047,58,C-,Solivane Chronicle: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2021-05-26T16:35:06Z,negative,false,false
CRV00095,CRT008,MOV0153,81,B+,Amber Circuit Voyage: a confident thriller achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2023-07-11T17:06:01Z,positive,true,false
CRV00096,CRT008,MOV0149,83,B+,Silver Meridian Reverie: a confident fantasy achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2015-12-12T19:47:37Z,positive,true,false
CRV00097,CRT008,MOV0063,72,B-,"Orion Vale Voyage: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2004-06-04T07:34:07Z,mixed,true,false
CRV00098,CRT008,MOV0071,80,B+,Echohaven Archive: a confident drama achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2014-11-15T02:17:54Z,positive,true,false
CRV00099,CRT008,MOV0048,80,B+,Solivane Constellation: a confident animation achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2024-07-05T13:18:44Z,positive,true,false
CRV00100,CRT008,MOV0185,68,C+,"Jade Frequency Garden: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2025-09-01T07:11:47Z,mixed,false,false
CRV00101,CRT008,MOV0007,62,C,"Asterfall Chronicle: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2020-01-29T05:52:28Z,mixed,false,false
CRV00102,CRT008,MOV0132,59,C-,Morrowglass Signal: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2020-02-06T07:42:46Z,negative,false,false
CRV00103,CRT008,MOV0121,55,C-,Kestrel Dawn Archive: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2025-04-10T18:22:37Z,negative,false,false
CRV00104,CRT008,MOV0167,78,B,"Hollow Prism Chronicle: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2010-02-03T08:03:23Z,mixed,true,false
CRV00105,CRT009,MOV0178,54,D,Winter Atlas Constellation: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2003-07-01T09:09:29Z,negative,false,false
CRV00106,CRT009,MOV0057,64,C,"Nimbria Chronicle: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2022-08-27T01:12:08Z,mixed,false,false
CRV00107,CRT009,MOV0173,60,C,"Winter Atlas Voyage: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2021-02-05T09:52:38Z,mixed,false,false
CRV00108,CRT009,MOV0112,95,A+,Novafield Signal: a confident comedy achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2017-01-02T23:34:11Z,positive,true,true
CRV00109,CRT009,MOV0093,57,C-,Ravenspire Voyage: ambition without enough focus,"The premise is promising, yet the character logic and pacing never fully support its ambitions.",2009-11-01T22:58:42Z,negative,false,false
CRV00110,CRT009,MOV0030,60,C,"Moonforge Crossing: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2024-11-26T15:28:42Z,mixed,false,false
CRV00111,CRT009,MOV0157,84,B+,Amber Circuit Chronicle: a confident documentary achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2016-05-07T22:12:42Z,positive,true,false
CRV00112,CRT009,MOV0113,73,B-,"Novafield Voyage: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2000-10-09T14:14:50Z,mixed,true,false
CRV00113,CRT009,MOV0028,64,C,"Moonforge Constellation: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2023-03-05T06:10:16Z,mixed,false,false
CRV00114,CRT009,MOV0044,74,B-,"Solivane Protocol: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2004-07-20T18:41:02Z,mixed,true,false
CRV00115,CRT009,MOV0122,76,B,"Kestrel Dawn Signal: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2026-07-10T16:01:13Z,mixed,true,false
CRV00116,CRT009,MOV0117,72,B-,"Novafield Chronicle: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2025-08-06T05:57:35Z,mixed,true,false
CRV00117,CRT009,MOV0064,75,B,"Orion Vale Protocol: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2025-05-18T07:26:54Z,mixed,true,false
CRV00118,CRT010,MOV0134,71,B-,"Morrowglass Protocol: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2010-08-31T23:59:16Z,mixed,true,false
CRV00119,CRT010,MOV0187,92,A,Jade Frequency Chronicle: a confident documentary achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2023-01-24T16:59:19Z,positive,true,true
CRV00120,CRT010,MOV0153,72,B-,"Amber Circuit Voyage: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2025-11-17T11:26:22Z,mixed,true,false
CRV00121,CRT010,MOV0029,87,A-,Moonforge Reverie: a confident fantasy achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2007-12-26T18:14:16Z,positive,true,false
CRV00122,CRT010,MOV0018,89,A-,Velora Constellation: a confident animation achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2013-04-16T10:28:01Z,positive,true,false
CRV00123,CRT010,MOV0001,93,A,Asterfall Archive: a confident drama achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2023-02-11T02:17:08Z,positive,true,true
CRV00124,CRT010,MOV0109,62,C,"Tidal Ember Reverie: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2009-03-13T14:35:25Z,mixed,false,false
CRV00125,CRT010,MOV0197,74,B-,"Crimson Harbor Chronicle: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2022-11-29T00:45:35Z,mixed,true,false
CRV00126,CRT010,MOV0104,86,A-,Tidal Ember Protocol: a confident science fiction achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2025-08-29T22:22:52Z,positive,true,false
CRV00127,CRT010,MOV0076,78,B,"Echohaven Paradox: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2022-06-20T07:36:32Z,mixed,true,false
CRV00128,CRT010,MOV0096,71,B-,"Ravenspire Paradox: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2008-05-27T04:42:52Z,mixed,true,false
CRV00129,CRT010,MOV0161,86,A-,Hollow Prism Archive: a confident drama achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2019-06-07T04:53:25Z,positive,true,false
CRV00130,CRT010,MOV0037,93,A,Cinderwake Chronicle: a confident documentary achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2025-11-15T20:21:27Z,positive,true,true
CRV00131,CRT011,MOV0112,80,B+,Novafield Signal: a confident comedy achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2011-12-05T19:53:46Z,positive,true,false
CRV00132,CRT011,MOV0030,68,C+,"Moonforge Crossing: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2016-11-18T15:26:55Z,mixed,false,false
CRV00133,CRT011,MOV0175,88,A-,Winter Atlas Garden: a confident romance achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2025-02-24T08:34:30Z,positive,true,false
CRV00134,CRT011,MOV0145,87,A-,Silver Meridian Garden: a confident romance achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2021-11-23T13:29:37Z,positive,true,false
CRV00135,CRT011,MOV0138,81,B+,Morrowglass Constellation: a confident animation achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2020-08-13T17:30:59Z,positive,true,false
CRV00136,CRT011,MOV0029,89,A-,Moonforge Reverie: a confident fantasy achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2023-03-05T15:20:00Z,positive,true,false
CRV00137,CRT011,MOV0036,98,A+,Cinderwake Paradox: a confident action achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2020-06-11T03:07:04Z,positive,true,false
CRV00138,CRT011,MOV0133,68,C+,"Morrowglass Voyage: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2024-03-06T14:50:24Z,mixed,false,false
CRV00139,CRT011,MOV0084,96,A+,Lumenward Protocol: a confident science fiction achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2018-04-30T07:28:37Z,positive,true,false
CRV00140,CRT011,MOV0179,86,A-,Winter Atlas Reverie: a confident fantasy achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2022-10-10T01:57:54Z,positive,true,false
CRV00141,CRT011,MOV0162,66,C+,"Hollow Prism Signal: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2023-11-07T18:39:56Z,mixed,false,false
CRV00142,CRT011,MOV0102,82,B+,Tidal Ember Signal: a confident comedy achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2023-05-02T14:03:55Z,positive,true,false
CRV00143,CRT011,MOV0001,98,A+,Asterfall Archive: a confident drama achievement,"The direction is assured, the performances are precise, and the final movement earns its emotion.",2022-11-07T09:27:19Z,positive,true,false
CRV00144,CRT012,MOV0076,66,C+,"Echohaven Paradox: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2022-12-19T00:00:04Z,mixed,false,false
CRV00145,CRT012,MOV0106,65,C+,"Tidal Ember Paradox: vivid ideas, uneven rhythm","Several sequences are memorable, but the structure loses momentum before recovering near the end.",2014-03-04T05:51:27Z,mixed,false,false
