review_id,user_id,movie_id,source_viewing_id,rating,review_title,review_text,reviewed_at,sentiment_label,contains_spoiler,helpful_votes,review_language
URV000024,USR0006,MOV0161,VEW000064,2.5,장단점이 뚜렷한 Drama,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2024-02-20T08:49:31Z,neutral,false,317,ko
URV000025,USR0007,MOV0020,VEW000073,1,아쉬움이 남은 푸른 궤도: 교차점,전개가 반복적이고 결말이 급하게 마무리된 느낌이다.,2025-09-26T03:57:07Z,negative,false,241,ko
URV000026,USR0007,MOV0011,VEW000074,2,아쉬움이 남은 푸른 궤도: 기록,기대했던 긴장감이 부족해 집중하기 어려웠다.,2024-06-13T09:20:51Z,negative,false,127,ko
URV000027,USR0007,MOV0095,VEW000075,2.5,장단점이 뚜렷한 Romance,흥미로운 설정이지만 중반 전개는 조금 느리게 느껴졌다.,2026-07-07T16:31:14Z,neutral,false,147,ko
URV000028,USR0007,MOV0124,VEW000076,1,아쉬움이 남은 황조롱이의 새벽: 규약,전개가 반복적이고 결말이 급하게 마무리된 느낌이다.,2025-10-12T20:43:52Z,negative,false,77,ko
URV000029,USR0008,MOV0183,VEW000085,1.5,아쉬움이 남은 비취 주파수: 항해,기대했던 긴장감이 부족해 집중하기 어려웠다.,2025-11-08T02:11:19Z,negative,true,197,ko
URV000030,USR0008,MOV0122,VEW000086,4,다시 보고 싶은 “황조롱이의 새벽: 신호”,배우들의 호흡과 음악이 잘 어우러져 다시 보고 싶다.,2026-06-11T12:14:21Z,positive,false,274,ko
URV000031,USR0008,MOV0174,VEW000087,3.5,장단점이 뚜렷한 Science Fiction,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2026-02-04T10:50:30Z,neutral,true,130,ko
URV000032,USR0008,MOV0001,VEW000088,3.5,장단점이 뚜렷한 Drama,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2025-09-08T20:45:16Z,neutral,false,74,ko
URV000033,USR0009,MOV0087,VEW000097,2.5,장단점이 뚜렷한 Documentary,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2025-09-02T21:01:13Z,neutral,false,229,ko
URV000034,USR0009,MOV0142,VEW000098,3,장단점이 뚜렷한 Comedy,흥미로운 설정이지만 중반 전개는 조금 느리게 느껴졌다.,2026-06-07T17:36:00Z,neutral,true,299,ko
URV000035,USR0009,MOV0073,VEW000099,4,다시 보고 싶은 “메아리 항구: 항해”,몰입감이 좋고 마지막 장면의 여운이 길었다.,2024-11-13T02:19:38Z,positive,false,313,ko
URV000036,USR0009,MOV0132,VEW000100,2,아쉬움이 남은 내일의 유리: 신호,아이디어는 좋았지만 인물의 선택이 충분히 설득력 있지 않았다.,2024-10-17T01:32:26Z,negative,false,186,en
URV000037,USR0010,MOV0130,VEW000109,3,장단점이 뚜렷한 Horror,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2026-05-03T14:00:29Z,neutral,false,350,ko
URV000038,USR0010,MOV0010,VEW000110,4.5,다시 보고 싶은 “별비: 교차점”,"예상보다 섬세하고 따뜻했다, 친구에게 추천하고 싶다.",2026-02-06T09:41:52Z,positive,false,17,ko
URV000039,USR0010,MOV0005,VEW000111,3.5,장단점이 뚜렷한 Romance,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2026-04-11T13:52:20Z,neutral,false,320,ko
URV000040,USR0010,MOV0052,VEW000112,2,아쉬움이 남은 안개의 도시: 신호,기대했던 긴장감이 부족해 집중하기 어려웠다.,2026-04-15T03:18:23Z,negative,false,218,ko
URV000041,USR0011,MOV0097,VEW000121,4.5,다시 보고 싶은 “까마귀 첨탑: 연대기”,"예상보다 섬세하고 따뜻했다, 친구에게 추천하고 싶다.",2026-07-15T22:20:21Z,positive,false,24,ko
URV000042,USR0011,MOV0190,VEW000122,2,아쉬움이 남은 비취 주파수: 교차점,아이디어는 좋았지만 인물의 선택이 충분히 설득력 있지 않았다.,2024-08-28T22:34:03Z,negative,false,165,ko
URV000043,USR0011,MOV0013,VEW000123,3,장단점이 뚜렷한 Thriller,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2026-06-13T06:30:02Z,neutral,false,298,ko
URV000044,USR0011,MOV0056,VEW000124,2.5,장단점이 뚜렷한 Action,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2024-10-20T14:29:12Z,neutral,false,54,ko
URV000045,USR0012,MOV0115,VEW000133,2,아쉬움이 남은 새별 들판: 정원,기대했던 긴장감이 부족해 집중하기 어려웠다.,2024-09-20T01:24:13Z,negative,false,23,ko
URV000046,USR0012,MOV0063,VEW000134,3,장단점이 뚜렷한 Thriller,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2024-06-08T14:33:21Z,neutral,false,161,ko
URV000047,USR0012,MOV0126,VEW000135,1.5,아쉬움이 남은 황조롱이의 새벽: 역설,전개가 반복적이고 결말이 급하게 마무리된 느낌이다.,2026-04-20T22:26:00Z,negative,false,160,ko
URV000048,USR0012,MOV0060,VEW000136,2,아쉬움이 남은 안개의 도시: 교차점,아이디어는 좋았지만 인물의 선택이 충분히 설득력 있지 않았다.,2026-05-22T08:10:18Z,negative,false,338,ko
URV000049,USR0013,MOV0116,VEW000145,3.5,장단점이 뚜렷한 Action,흥미로운 설정이지만 중반 전개는 조금 느리게 느껴졌다.,2024-07-13T09:18:09Z,neutral,true,338,en
URV000050,USR0013,MOV0166,VEW000146,3,장단점이 뚜렷한 Action,흥미로운 설정이지만 중반 전개는 조금 느리게 느껴졌다.,2025-09-28T01:29:53Z,neutral,false,287,ko
URV000051,USR0013,MOV0032,VEW000147,1.5,아쉬움이 남은 잿빛 파도: 신호,전개가 반복적이고 결말이 급하게 마무리된 느낌이다.,2025-03-02T00:09:01Z,negative,true,298,en
URV000052,USR0013,MOV0143,VEW000148,2.5,장단점이 뚜렷한 Thriller,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2026-01-07T23:05:21Z,neutral,false,178,en
URV000053,USR0014,MOV0200,VEW000157,3.5,장단점이 뚜렷한 Horror,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2025-12-06T06:04:23Z,neutral,false,263,hi
URV000054,USR0014,MOV0160,VEW000158,3,장단점이 뚜렷한 Horror,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2025-09-01T14:30:22Z,neutral,false,217,ko
URV000055,USR0014,MOV0177,VEW000159,2,아쉬움이 남은 겨울 지도: 연대기,기대했던 긴장감이 부족해 집중하기 어려웠다.,2025-01-24T08:31:10Z,negative,false,232,hi
URV000056,USR0014,MOV0012,VEW000160,1,아쉬움이 남은 푸른 궤도: 신호,기대했던 긴장감이 부족해 집중하기 어려웠다.,2025-10-07T08:39:26Z,negative,false,138,ko
URV000057,USR0015,MOV0090,VEW000169,3,장단점이 뚜렷한 Horror,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2025-05-23T21:19:01Z,neutral,false,26,de
URV000058,USR0015,MOV0190,VEW000170,2.5,장단점이 뚜렷한 Horror,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2026-05-24T07:11:22Z,neutral,false,347,ko
URV000059,USR0015,MOV0092,VEW000171,4,다시 보고 싶은 “까마귀 첨탑: 신호”,몰입감이 좋고 마지막 장면의 여운이 길었다.,2026-05-07T07:43:51Z,positive,false,242,de
URV000060,USR0015,MOV0173,VEW000172,2,아쉬움이 남은 겨울 지도: 항해,기대했던 긴장감이 부족해 집중하기 어려웠다.,2026-05-05T21:15:58Z,negative,false,159,ko
URV000061,USR0016,MOV0199,VEW000181,3,장단점이 뚜렷한 Fantasy,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2026-03-05T06:15:54Z,neutral,false,309,ko
URV000062,USR0016,MOV0043,VEW000182,2.5,장단점이 뚜렷한 Thriller,흥미로운 설정이지만 중반 전개는 조금 느리게 느껴졌다.,2025-12-16T14:54:13Z,neutral,false,305,ko
URV000063,USR0016,MOV0180,VEW000183,4,다시 보고 싶은 “겨울 지도: 교차점”,"예상보다 섬세하고 따뜻했다, 친구에게 추천하고 싶다.",2025-05-09T06:55:01Z,positive,false,167,ko
URV000064,USR0016,MOV0139,VEW000184,1,아쉬움이 남은 내일의 유리: 몽상,아이디어는 좋았지만 인물의 선택이 충분히 설득력 있지 않았다.,2024-11-02T04:33:48Z,negative,false,228,ko
URV000065,USR0017,MOV0148,VEW000193,3.5,장단점이 뚜렷한 Animation,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2023-05-04T09:47:40Z,neutral,true,46,pt
URV000066,USR0017,MOV0053,VEW000194,2.5,장단점이 뚜렷한 Thriller,흥미로운 설정이지만 중반 전개는 조금 느리게 느껴졌다.,2026-01-30T02:44:06Z,neutral,false,47,ko
URV000067,USR0017,MOV0115,VEW000195,2.5,장단점이 뚜렷한 Romance,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2023-06-25T22:38:00Z,neutral,false,140,pt
URV000068,USR0017,MOV0143,VEW000196,2.5,장단점이 뚜렷한 Thriller,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2026-04-16T10:42:14Z,neutral,false,161,pt
URV000069,USR0018,MOV0019,VEW000205,2.5,장단점이 뚜렷한 Fantasy,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2024-09-10T15:18:04Z,neutral,false,127,ko
URV000070,USR0018,MOV0105,VEW000206,2,아쉬움이 남은 파도의 불씨: 정원,기대했던 긴장감이 부족해 집중하기 어려웠다.,2025-09-25T21:45:53Z,negative,false,273,ko
URV000071,USR0018,MOV0184,VEW000207,2.5,장단점이 뚜렷한 Science Fiction,흥미로운 설정이지만 중반 전개는 조금 느리게 느껴졌다.,2025-05-16T16:50:15Z,neutral,false,108,ko
URV000072,USR0018,MOV0116,VEW000208,3,장단점이 뚜렷한 Action,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2022-11-27T17:09:46Z,neutral,false,204,ko
URV000073,USR0019,MOV0108,VEW000217,3.5,장단점이 뚜렷한 Animation,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2026-05-12T18:42:47Z,neutral,false,249,ko
URV000074,USR0019,MOV0117,VEW000218,2.5,장단점이 뚜렷한 Documentary,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2026-03-10T01:57:30Z,neutral,false,176,ko
URV000075,USR0019,MOV0158,VEW000219,3,장단점이 뚜렷한 Animation,흥미로운 설정이지만 중반 전개는 조금 느리게 느껴졌다.,2025-01-22T23:40:50Z,neutral,false,91,ko
URV000076,USR0019,MOV0160,VEW000220,3.5,장단점이 뚜렷한 Horror,흥미로운 설정이지만 중반 전개는 조금 느리게 느껴졌다.,2026-06-25T08:56:59Z,neutral,false,168,ko
URV000077,USR0020,MOV0092,VEW000229,4,다시 보고 싶은 “까마귀 첨탑: 신호”,"예상보다 섬세하고 따뜻했다, 친구에게 추천하고 싶다.",2025-06-20T23:31:48Z,positive,false,244,ko
URV000078,USR0020,MOV0192,VEW000230,3.5,장단점이 뚜렷한 Comedy,흥미로운 설정이지만 중반 전개는 조금 느리게 느껴졌다.,2023-12-27T06:31:17Z,neutral,false,293,ko
URV000079,USR0020,MOV0051,VEW000231,1,아쉬움이 남은 안개의 도시: 기록,전개가 반복적이고 결말이 급하게 마무리된 느낌이다.,2026-04-16T14:09:37Z,negative,true,321,ko
URV000080,USR0020,MOV0099,VEW000232,3.5,장단점이 뚜렷한 Fantasy,흥미로운 설정이지만 중반 전개는 조금 느리게 느껴졌다.,2026-03-18T19:04:06Z,neutral,false,116,ko
URV000081,USR0021,MOV0050,VEW000241,1.5,아쉬움이 남은 고요한 항로: 교차점,아이디어는 좋았지만 인물의 선택이 충분히 설득력 있지 않았다.,2026-03-09T23:50:44Z,negative,false,268,ko
URV000082,USR0021,MOV0001,VEW000242,3.5,장단점이 뚜렷한 Drama,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2025-12-06T16:04:53Z,neutral,false,296,ko
URV000083,USR0021,MOV0198,VEW000243,2,아쉬움이 남은 진홍 항구: 별자리,아이디어는 좋았지만 인물의 선택이 충분히 설득력 있지 않았다.,2025-08-22T14:44:02Z,negative,false,213,ko
URV000084,USR0021,MOV0121,VEW000244,2,아쉬움이 남은 황조롱이의 새벽: 기록,아이디어는 좋았지만 인물의 선택이 충분히 설득력 있지 않았다.,2025-11-22T12:47:25Z,negative,false,17,en
URV000085,USR0022,MOV0050,VEW000253,2.5,장단점이 뚜렷한 Horror,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2026-01-19T09:17:55Z,neutral,false,270,fr
URV000086,USR0022,MOV0184,VEW000254,2.5,장단점이 뚜렷한 Science Fiction,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2023-05-07T15:13:55Z,neutral,false,111,ko
URV000087,USR0022,MOV0195,VEW000255,3,장단점이 뚜렷한 Romance,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2026-05-14T00:49:21Z,neutral,false,181,ko
URV000088,USR0022,MOV0183,VEW000256,1,아쉬움이 남은 비취 주파수: 항해,전개가 반복적이고 결말이 급하게 마무리된 느낌이다.,2026-02-22T23:10:14Z,negative,false,272,ko
URV000089,USR0023,MOV0154,VEW000265,1.5,아쉬움이 남은 호박빛 회로: 규약,기대했던 긴장감이 부족해 집중하기 어려웠다.,2026-05-14T08:26:14Z,negative,false,169,ko
URV000090,USR0023,MOV0164,VEW000266,2,아쉬움이 남은 빈 프리즘: 규약,아이디어는 좋았지만 인물의 선택이 충분히 설득력 있지 않았다.,2026-05-31T15:33:38Z,negative,false,245,en
URV000091,USR0023,MOV0015,VEW000267,3.5,장단점이 뚜렷한 Romance,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2026-05-25T15:34:48Z,neutral,false,127,ko
URV000092,USR0023,MOV0007,VEW000268,2.5,장단점이 뚜렷한 Documentary,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2026-02-19T23:45:22Z,neutral,false,7,ko
URV000093,USR0024,MOV0035,VEW000277,4,다시 보고 싶은 “잿빛 파도: 정원”,배우들의 호흡과 음악이 잘 어우러져 다시 보고 싶다.,2026-06-26T10:02:22Z,positive,true,111,ko
URV000094,USR0024,MOV0079,VEW000278,4,다시 보고 싶은 “메아리 항구: 몽상”,"예상보다 섬세하고 따뜻했다, 친구에게 추천하고 싶다.",2026-03-21T14:24:28Z,positive,false,176,hi
URV000095,USR0024,MOV0050,VEW000279,2,아쉬움이 남은 고요한 항로: 교차점,아이디어는 좋았지만 인물의 선택이 충분히 설득력 있지 않았다.,2026-01-29T14:03:05Z,negative,false,317,ko
URV000096,USR0024,MOV0150,VEW000280,3,장단점이 뚜렷한 Horror,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2025-09-28T11:26:49Z,neutral,false,62,ko
URV000097,USR0025,MOV0064,VEW000289,2.5,장단점이 뚜렷한 Science Fiction,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2026-01-14T01:17:34Z,neutral,false,54,ko
URV000098,USR0025,MOV0181,VEW000290,2.5,장단점이 뚜렷한 Drama,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2024-05-21T06:34:49Z,neutral,false,291,ko
URV000099,USR0025,MOV0139,VEW000291,2,아쉬움이 남은 내일의 유리: 몽상,아이디어는 좋았지만 인물의 선택이 충분히 설득력 있지 않았다.,2024-12-26T06:37:25Z,negative,false,222,ko
URV000100,USR0025,MOV0132,VEW000292,2.5,장단점이 뚜렷한 Comedy,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2025-03-15T07:06:43Z,neutral,false,35,ko
URV000101,USR0026,MOV0132,VEW000301,1.5,아쉬움이 남은 내일의 유리: 신호,전개가 반복적이고 결말이 급하게 마무리된 느낌이다.,2023-05-31T19:26:51Z,negative,false,337,ko
URV000102,USR0026,MOV0039,VEW000302,1,아쉬움이 남은 잿빛 파도: 몽상,아이디어는 좋았지만 인물의 선택이 충분히 설득력 있지 않았다.,2025-06-15T08:16:29Z,negative,false,230,ko
URV000103,USR0026,MOV0149,VEW000303,4,다시 보고 싶은 “은빛 자오선: 몽상”,몰입감이 좋고 마지막 장면의 여운이 길었다.,2023-01-11T01:44:03Z,positive,true,27,ko
URV000104,USR0026,MOV0013,VEW000304,4,다시 보고 싶은 “푸른 궤도: 항해”,몰입감이 좋고 마지막 장면의 여운이 길었다.,2023-07-08T17:15:59Z,positive,false,152,ko
URV000105,USR0027,MOV0160,VEW000313,2,아쉬움이 남은 호박빛 회로: 교차점,아이디어는 좋았지만 인물의 선택이 충분히 설득력 있지 않았다.,2025-04-16T00:17:59Z,negative,false,256,ko
URV000106,USR0027,MOV0114,VEW000314,4,다시 보고 싶은 “새별 들판: 규약”,배우들의 호흡과 음악이 잘 어우러져 다시 보고 싶다.,2025-06-22T07:06:37Z,positive,false,43,ko
URV000107,USR0027,MOV0180,VEW000315,3,장단점이 뚜렷한 Horror,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2025-05-07T03:10:40Z,neutral,false,307,pt
URV000108,USR0027,MOV0195,VEW000316,2.5,장단점이 뚜렷한 Romance,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2026-01-09T12:45:07Z,neutral,false,288,ko
URV000109,USR0028,MOV0034,VEW000325,2,아쉬움이 남은 잿빛 파도: 규약,전개가 반복적이고 결말이 급하게 마무리된 느낌이다.,2025-04-19T23:53:31Z,negative,false,268,ko
URV000110,USR0028,MOV0001,VEW000326,3.5,장단점이 뚜렷한 Drama,흥미로운 설정이지만 중반 전개는 조금 느리게 느껴졌다.,2025-05-29T01:14:10Z,neutral,false,57,ko
URV000111,USR0028,MOV0164,VEW000327,2.5,장단점이 뚜렷한 Science Fiction,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2024-05-24T18:27:46Z,neutral,false,264,ko
URV000112,USR0028,MOV0101,VEW000328,1,아쉬움이 남은 파도의 불씨: 기록,아이디어는 좋았지만 인물의 선택이 충분히 설득력 있지 않았다.,2026-06-11T15:58:02Z,negative,false,116,ko
URV000113,USR0029,MOV0177,VEW000337,1.5,아쉬움이 남은 겨울 지도: 연대기,전개가 반복적이고 결말이 급하게 마무리된 느낌이다.,2025-12-22T21:39:54Z,negative,false,220,ko
URV000114,USR0029,MOV0190,VEW000338,3.5,장단점이 뚜렷한 Horror,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2025-03-31T14:00:46Z,neutral,false,129,ko
URV000115,USR0029,MOV0009,VEW000339,3,장단점이 뚜렷한 Fantasy,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2025-11-24T05:35:55Z,neutral,false,117,ko
URV000116,USR0029,MOV0011,VEW000340,1,아쉬움이 남은 푸른 궤도: 기록,전개가 반복적이고 결말이 급하게 마무리된 느낌이다.,2024-02-02T23:31:03Z,negative,false,263,ko
URV000117,USR0030,MOV0150,VEW000349,2.5,장단점이 뚜렷한 Horror,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2025-10-03T21:52:13Z,neutral,false,319,ko
URV000118,USR0030,MOV0003,VEW000350,2.5,장단점이 뚜렷한 Thriller,흥미로운 설정이지만 중반 전개는 조금 느리게 느껴졌다.,2026-02-25T12:29:04Z,neutral,true,169,ko
URV000119,USR0030,MOV0092,VEW000351,4,다시 보고 싶은 “까마귀 첨탑: 신호”,"예상보다 섬세하고 따뜻했다, 친구에게 추천하고 싶다.",2025-12-22T15:38:44Z,positive,false,132,ko
URV000120,USR0030,MOV0043,VEW000352,3.5,장단점이 뚜렷한 Thriller,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2025-11-17T21:41:09Z,neutral,false,27,ko
URV000121,USR0031,MOV0067,VEW000361,3.5,장단점이 뚜렷한 Documentary,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2026-07-22T10:47:46Z,neutral,false,23,ko
URV000122,USR0031,MOV0082,VEW000362,2,아쉬움이 남은 빛의 수호자: 신호,기대했던 긴장감이 부족해 집중하기 어려웠다.,2024-10-17T17:36:35Z,negative,true,345,ko
URV000123,USR0031,MOV0123,VEW000363,3,장단점이 뚜렷한 Thriller,흥미로운 설정이지만 중반 전개는 조금 느리게 느껴졌다.,2024-05-30T12:21:41Z,neutral,false,78,en
URV000124,USR0031,MOV0154,VEW000364,1,아쉬움이 남은 호박빛 회로: 규약,아이디어는 좋았지만 인물의 선택이 충분히 설득력 있지 않았다.,2025-06-30T01:43:23Z,negative,false,312,ko
URV000125,USR0032,MOV0112,VEW000373,3.5,장단점이 뚜렷한 Comedy,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2026-05-27T07:07:52Z,neutral,false,239,ko
URV000126,USR0032,MOV0121,VEW000374,1.5,아쉬움이 남은 황조롱이의 새벽: 기록,전개가 반복적이고 결말이 급하게 마무리된 느낌이다.,2026-01-31T17:01:23Z,negative,false,14,ko
URV000127,USR0032,MOV0081,VEW000375,2,아쉬움이 남은 빛의 수호자: 기록,아이디어는 좋았지만 인물의 선택이 충분히 설득력 있지 않았다.,2026-03-05T14:49:59Z,negative,false,240,ko
URV000128,USR0032,MOV0114,VEW000376,4.5,다시 보고 싶은 “새별 들판: 규약”,몰입감이 좋고 마지막 장면의 여운이 길었다.,2026-03-07T05:00:04Z,positive,true,171,ko
URV000129,USR0033,MOV0095,VEW000385,3.5,장단점이 뚜렷한 Romance,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2025-10-12T14:01:33Z,neutral,true,82,ko
URV000130,USR0033,MOV0131,VEW000386,3.5,장단점이 뚜렷한 Drama,영상은 인상적이었지만 이야기의 밀도는 평범했다.,2026-03-21T14:51:48Z,neutral,true,119,ko
URV000131,USR0033,MOV0081,VEW000387,2,아쉬움이 남은 빛의 수호자: 기록,기대했던 긴장감이 부족해 집중하기 어려웠다.,2026-05-11T08:39:39Z,negative,false,111,ko
URV000132,USR0033,MOV0060,VEW000388,2,아쉬움이 남은 안개의 도시: 교차점,전개가 반복적이고 결말이 급하게 마무리된 느낌이다.,2026-06-08T19:52:44Z,negative,false,293,en
URV000133,USR0034,MOV0145,VEW000397,3,장단점이 뚜렷한 Romance,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2024-09-25T11:39:27Z,neutral,false,333,ko
URV000134,USR0034,MOV0191,VEW000398,1,아쉬움이 남은 진홍 항구: 기록,아이디어는 좋았지만 인물의 선택이 충분히 설득력 있지 않았다.,2025-11-18T07:41:31Z,negative,false,116,ko
URV000135,USR0034,MOV0102,VEW000399,3,장단점이 뚜렷한 Comedy,장점과 단점이 분명했다. 한 번쯤 볼 만한 작품이다.,2026-05-07T09:34:26Z,neutral,true,263,ko
URV000136,USR0034,MOV0023,VEW000400,3.5,장단점이 뚜렷한 Thriller,흥미로운 설정이지만 중반 전개는 조금 느리게 느껴졌다.,2024-10-10T02:19:00Z,neutral,false,272,ko
