movie_id,title,title_ko,release_date,release_year,primary_genre,secondary_genre,production_country,original_language,runtime_minutes,content_rating,director_name,studio_name,production_budget_usd,box_office_usd,platform_release_date,is_platform_original,synopsis
MOV0020,Velora Crossing,푸른 궤도: 교차점,2022-05-10,2022,Horror,Fantasy,US,en,107,18+,Ari Calder,Mosaic Frame Lab,32142600,37331442,2023-09-19,false,"푸른 궤도: 교차점은(는) horror 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0021,Moonforge Archive,달의 대장간: 기록,1995-11-23,1995,Drama,Thriller,DE,de,161,7+,Jun Vale,Orbit Pine Studio,49568532,47135321,2022-01-31,false,"달의 대장간: 기록은(는) drama 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0022,Moonforge Signal,달의 대장간: 신호,1995-08-29,1995,Comedy,Science Fiction,IN,hi,93,18+,Lea Kwon,Northstar Fiction,8558673,39304996,2021-12-30,false,"달의 대장간: 신호은(는) comedy 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0023,Moonforge Voyage,달의 대장간: 항해,2011-02-06,2011,Thriller,Science Fiction,US,en,150,15+,Tomas Sarin,Blue Lantern Works,43546158,169346348,2021-01-02,false,"달의 대장간: 항해은(는) thriller 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0024,Moonforge Protocol,달의 대장간: 규약,1995-10-30,1995,Science Fiction,Drama,FR,fr,123,15+,Nora Neri,Riverglass Pictures,32137703,72455866,2023-08-16,false,"달의 대장간: 규약은(는) science fiction 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0025,Moonforge Garden,달의 대장간: 정원,1998-10-28,1998,Romance,Thriller,AU,en,157,15+,Ishan Alden,Mosaic Frame Lab,55890929,205499933,2025-01-16,false,"달의 대장간: 정원은(는) romance 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0026,Moonforge Paradox,달의 대장간: 역설,2003-12-27,2003,Action,Thriller,KR,ko,93,12+,Sora Bora,Riverglass Pictures,13206939,47455122,2023-12-12,false,"달의 대장간: 역설은(는) action 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0027,Moonforge Chronicle,달의 대장간: 연대기,2013-10-08,2013,Documentary,Science Fiction,GB,en,103,ALL,Theo Voss,Cloudberry Films,1405078,2091135,2021-08-19,false,"달의 대장간: 연대기은(는) documentary 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0028,Moonforge Constellation,달의 대장간: 별자리,2013-12-15,2013,Animation,Fantasy,CA,en,106,ALL,Aya Calder,Orbit Pine Studio,74960035,156775753,2022-03-06,false,"달의 대장간: 별자리은(는) animation 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0029,Moonforge Reverie,달의 대장간: 몽상,1995-07-15,1995,Fantasy,Horror,BR,pt,118,12+,Ari Ren,Cloudberry Films,24086074,139961061,2021-01-11,false,"달의 대장간: 몽상은(는) fantasy 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0030,Moonforge Crossing,달의 대장간: 교차점,2011-05-08,2011,Horror,Science Fiction,JP,ja,114,15+,Mina Mirel,Orbit Pine Studio,40834966,59424555,2022-02-18,false,"달의 대장간: 교차점은(는) horror 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0031,Cinderwake Archive,잿빛 파도: 기록,2012-02-26,2012,Drama,Science Fiction,CA,en,96,18+,Lea Sarin,Northstar Fiction,38422127,84367888,2022-07-10,false,"잿빛 파도: 기록은(는) drama 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0032,Cinderwake Signal,잿빛 파도: 신호,2016-05-10,2016,Comedy,Fantasy,BR,pt,152,18+,Tomas Neri,Cloudberry Films,18999092,40221590,2022-06-02,false,"잿빛 파도: 신호은(는) comedy 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0033,Cinderwake Voyage,잿빛 파도: 항해,2014-04-17,2014,Thriller,Science Fiction,JP,ja,88,15+,Nora Alden,Copper Kite Media,29975493,149233395,2023-02-22,false,"잿빛 파도: 항해은(는) thriller 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0034,Cinderwake Protocol,잿빛 파도: 규약,1998-04-18,1998,Science Fiction,Action,DE,de,101,12+,Ishan Bora,Quiet Comet Studio,21293849,55500740,2024-07-10,false,"잿빛 파도: 규약은(는) science fiction 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0035,Cinderwake Garden,잿빛 파도: 정원,2016-09-01,2016,Romance,Documentary,IN,hi,113,ALL,Sora Voss,Mosaic Frame Lab,31642446,171569037,2024-11-23,false,"잿빛 파도: 정원은(는) romance 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0036,Cinderwake Paradox,잿빛 파도: 역설,2020-06-10,2020,Action,Thriller,US,en,106,12+,Theo Calder,Blue Lantern Works,24043509,65578180,2025-03-17,false,"잿빛 파도: 역설은(는) action 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0037,Cinderwake Chronicle,잿빛 파도: 연대기,2024-10-17,2024,Documentary,Science Fiction,FR,fr,95,15+,Aya Ren,Mosaic Frame Lab,4866796,12191113,2024-10-17,true,"잿빛 파도: 연대기은(는) documentary 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0038,Cinderwake Constellation,잿빛 파도: 별자리,2013-06-22,2013,Animation,Comedy,AU,en,112,ALL,Ari Mirel,Mosaic Frame Lab,61428432,173102374,2026-01-23,false,"잿빛 파도: 별자리은(는) animation 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0039,Cinderwake Reverie,잿빛 파도: 몽상,2016-10-17,2016,Fantasy,Horror,KR,ko,159,7+,Mina Vale,Cloudberry Films,10973209,34645279,2022-10-21,false,"잿빛 파도: 몽상은(는) fantasy 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0040,Cinderwake Crossing,잿빛 파도: 교차점,2014-04-28,2014,Horror,Comedy,GB,en,110,12+,Jun Kwon,Orbit Pine Studio,40320134,171858249,2024-04-03,false,"잿빛 파도: 교차점은(는) horror 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0041,Solivane Archive,고요한 항로: 기록,2025-12-21,2025,Drama,Animation,AU,en,153,18+,Tomas Alden,Copper Kite Media,21396596,127574896,2026-03-23,false,"고요한 항로: 기록은(는) drama 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0042,Solivane Signal,고요한 항로: 신호,2010-09-06,2010,Comedy,Science Fiction,KR,ko,127,18+,Nora Bora,Riverglass Pictures,39328221,104949528,2025-02-23,false,"고요한 항로: 신호은(는) comedy 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0043,Solivane Voyage,고요한 항로: 항해,1995-10-26,1995,Thriller,Documentary,GB,en,100,ALL,Ishan Voss,Riverglass Pictures,35790020,92655013,2025-05-19,false,"고요한 항로: 항해은(는) thriller 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0044,Solivane Protocol,고요한 항로: 규약,1996-08-08,1996,Science Fiction,Animation,CA,en,161,7+,Sora Calder,Mosaic Frame Lab,47045054,138849258,2021-05-10,false,"고요한 항로: 규약은(는) science fiction 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0045,Solivane Garden,고요한 항로: 정원,2014-04-13,2014,Romance,Comedy,BR,pt,139,15+,Theo Ren,Mosaic Frame Lab,42633533,153058428,2023-12-30,false,"고요한 항로: 정원은(는) romance 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0046,Solivane Paradox,고요한 항로: 역설,2024-04-15,2024,Action,Horror,JP,ja,123,15+,Aya Mirel,Copper Kite Media,14409956,21600984,2024-07-09,false,"고요한 항로: 역설은(는) action 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0047,Solivane Chronicle,고요한 항로: 연대기,2006-04-23,2006,Documentary,Animation,DE,de,71,7+,Ari Vale,Orbit Pine Studio,2395070,2944910,2022-08-08,false,"고요한 항로: 연대기은(는) documentary 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0048,Solivane Constellation,고요한 항로: 별자리,2013-11-29,2013,Animation,Fantasy,IN,hi,77,ALL,Mina Kwon,Copper Kite Media,44088108,57563956,2023-07-16,false,"고요한 항로: 별자리은(는) animation 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0049,Solivane Reverie,고요한 항로: 몽상,1998-02-14,1998,Fantasy,Animation,US,en,144,7+,Jun Sarin,Copper Kite Media,13608070,32709105,2023-01-25,false,"고요한 항로: 몽상은(는) fantasy 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0050,Solivane Crossing,고요한 항로: 교차점,2025-07-15,2025,Horror,Fantasy,FR,fr,142,18+,Lea Neri,Riverglass Pictures,33295944,104736908,2025-12-31,false,"고요한 항로: 교차점은(는) horror 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0051,Nimbria Archive,안개의 도시: 기록,2016-07-07,2016,Drama,Documentary,IN,hi,116,18+,Nora Voss,Orbit Pine Studio,39698869,49497300,2025-11-18,false,"안개의 도시: 기록은(는) drama 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0052,Nimbria Signal,안개의 도시: 신호,1999-06-19,1999,Comedy,Romance,US,en,161,7+,Ishan Calder,Mosaic Frame Lab,36872183,94456479,2025-09-28,false,"안개의 도시: 신호은(는) comedy 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0053,Nimbria Voyage,안개의 도시: 항해,2003-06-03,2003,Thriller,Romance,FR,fr,98,15+,Sora Ren,Northstar Fiction,45638325,247658386,2026-01-12,false,"안개의 도시: 항해은(는) thriller 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0054,Nimbria Protocol,안개의 도시: 규약,2008-01-22,2008,Science Fiction,Romance,AU,en,107,12+,Theo Mirel,Quiet Comet Studio,51026553,171790993,2025-04-27,false,"안개의 도시: 규약은(는) science fiction 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0055,Nimbria Garden,안개의 도시: 정원,2017-11-29,2017,Romance,Action,KR,ko,135,12+,Aya Vale,Blue Lantern Works,44259876,184405090,2026-01-26,false,"안개의 도시: 정원은(는) romance 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0056,Nimbria Paradox,안개의 도시: 역설,1995-04-14,1995,Action,Horror,GB,en,112,ALL,Ari Kwon,Riverglass Pictures,12118905,49865675,2022-09-14,false,"안개의 도시: 역설은(는) action 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0057,Nimbria Chronicle,안개의 도시: 연대기,2014-06-17,2014,Documentary,Drama,CA,en,99,ALL,Mina Sarin,Northstar Fiction,1459061,5053155,2022-02-16,false,"안개의 도시: 연대기은(는) documentary 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0058,Nimbria Constellation,안개의 도시: 별자리,2004-06-28,2004,Animation,Comedy,BR,pt,115,15+,Jun Neri,Riverglass Pictures,90360886,344138899,2021-04-28,false,"안개의 도시: 별자리은(는) animation 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0059,Nimbria Reverie,안개의 도시: 몽상,1999-10-03,1999,Fantasy,Documentary,JP,ja,138,15+,Lea Alden,Cloudberry Films,50975751,189348110,2024-01-30,false,"안개의 도시: 몽상은(는) fantasy 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0060,Nimbria Crossing,안개의 도시: 교차점,2018-12-21,2018,Horror,Thriller,DE,de,150,ALL,Tomas Bora,Northstar Fiction,52827029,212542181,2026-04-08,false,"안개의 도시: 교차점은(는) horror 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0061,Orion Vale Archive,오리온 골짜기: 기록,2008-02-25,2008,Drama,Romance,BR,pt,115,15+,Ishan Ren,Blue Lantern Works,31698720,75408976,2021-05-12,false,"오리온 골짜기: 기록은(는) drama 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0062,Orion Vale Signal,오리온 골짜기: 신호,2008-08-31,2008,Comedy,Romance,JP,ja,149,ALL,Sora Mirel,Northstar Fiction,54935664,64821482,2026-03-11,false,"오리온 골짜기: 신호은(는) comedy 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0063,Orion Vale Voyage,오리온 골짜기: 항해,1998-03-01,1998,Thriller,Documentary,DE,de,116,ALL,Theo Vale,Orbit Pine Studio,30404400,130792374,2022-12-15,false,"오리온 골짜기: 항해은(는) thriller 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0064,Orion Vale Protocol,오리온 골짜기: 규약,2023-02-25,2023,Science Fiction,Documentary,IN,hi,132,7+,Aya Kwon,Orbit Pine Studio,9049430,41020710,2025-03-07,false,"오리온 골짜기: 규약은(는) science fiction 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0065,Orion Vale Garden,오리온 골짜기: 정원,2010-07-26,2010,Romance,Animation,US,en,129,12+,Ari Sarin,Mosaic Frame Lab,55913876,60625560,2024-12-02,false,"오리온 골짜기: 정원은(는) romance 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0066,Orion Vale Paradox,오리온 골짜기: 역설,2012-09-05,2012,Action,Documentary,FR,fr,158,15+,Mina Neri,Cloudberry Films,46065591,146905125,2021-09-03,false,"오리온 골짜기: 역설은(는) action 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0067,Orion Vale Chronicle,오리온 골짜기: 연대기,2020-04-18,2020,Documentary,Action,AU,en,109,7+,Jun Alden,Orbit Pine Studio,4035183,20982977,2025-10-11,false,"오리온 골짜기: 연대기은(는) documentary 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0068,Orion Vale Constellation,오리온 골짜기: 별자리,1999-05-06,1999,Animation,Documentary,KR,ko,117,7+,Lea Bora,Quiet Comet Studio,75847416,314329306,2025-11-24,false,"오리온 골짜기: 별자리은(는) animation 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0069,Orion Vale Reverie,오리온 골짜기: 몽상,1998-11-11,1998,Fantasy,Animation,GB,en,93,18+,Tomas Voss,Cloudberry Films,36139365,42741520,2022-11-26,false,"오리온 골짜기: 몽상은(는) fantasy 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0070,Orion Vale Crossing,오리온 골짜기: 교차점,2023-03-01,2023,Horror,Drama,CA,en,108,7+,Nora Calder,Copper Kite Media,46396090,26658475,2025-02-24,false,"오리온 골짜기: 교차점은(는) horror 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0071,Echohaven Archive,메아리 항구: 기록,2002-10-21,2002,Drama,Fantasy,KR,ko,105,7+,Sora Vale,Blue Lantern Works,7674097,20165424,2021-04-05,false,"메아리 항구: 기록은(는) drama 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0072,Echohaven Signal,메아리 항구: 신호,2020-09-18,2020,Comedy,Action,GB,en,115,12+,Theo Kwon,Blue Lantern Works,14620928,21086207,2021-12-22,false,"메아리 항구: 신호은(는) comedy 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0073,Echohaven Voyage,메아리 항구: 항해,2002-10-13,2002,Thriller,Action,CA,en,162,7+,Aya Sarin,Mosaic Frame Lab,54844255,237966281,2022-04-16,false,"메아리 항구: 항해은(는) thriller 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0074,Echohaven Protocol,메아리 항구: 규약,1999-03-01,1999,Science Fiction,Documentary,BR,pt,140,ALL,Ari Neri,Copper Kite Media,42696968,147214554,2021-02-26,false,"메아리 항구: 규약은(는) science fiction 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0075,Echohaven Garden,메아리 항구: 정원,2016-09-27,2016,Romance,Drama,JP,ja,116,15+,Mina Alden,Blue Lantern Works,47728093,168068432,2024-01-13,false,"메아리 항구: 정원은(는) romance 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0076,Echohaven Paradox,메아리 항구: 역설,2019-08-24,2019,Action,Comedy,DE,de,151,18+,Jun Bora,Northstar Fiction,45333619,194120122,2022-03-19,false,"메아리 항구: 역설은(는) action 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0077,Echohaven Chronicle,메아리 항구: 연대기,2016-10-29,2016,Documentary,Drama,IN,hi,95,12+,Lea Voss,Blue Lantern Works,5539309,31077637,2024-04-18,false,"메아리 항구: 연대기은(는) documentary 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0078,Echohaven Constellation,메아리 항구: 별자리,2009-06-19,2009,Animation,Drama,US,en,114,15+,Tomas Calder,Blue Lantern Works,80737771,110561904,2025-12-05,false,"메아리 항구: 별자리은(는) animation 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0079,Echohaven Reverie,메아리 항구: 몽상,2009-09-25,2009,Fantasy,Romance,FR,fr,153,7+,Nora Ren,Riverglass Pictures,48264125,229832510,2023-05-06,false,"메아리 항구: 몽상은(는) fantasy 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0080,Echohaven Crossing,메아리 항구: 교차점,2018-01-19,2018,Horror,Drama,AU,en,149,7+,Ishan Mirel,Orbit Pine Studio,12142324,45886410,2023-02-27,false,"메아리 항구: 교차점은(는) horror 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0081,Lumenward Archive,빛의 수호자: 기록,2010-10-04,2010,Drama,Action,US,en,163,18+,Theo Sarin,Blue Lantern Works,7889771,7451684,2024-10-16,false,"빛의 수호자: 기록은(는) drama 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0082,Lumenward Signal,빛의 수호자: 신호,2005-11-23,2005,Comedy,Science Fiction,FR,fr,144,7+,Aya Neri,Riverglass Pictures,13560088,4827082,2021-02-10,false,"빛의 수호자: 신호은(는) comedy 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0083,Lumenward Voyage,빛의 수호자: 항해,2005-05-07,2005,Thriller,Romance,AU,en,146,12+,Ari Alden,Blue Lantern Works,45347801,108508623,2021-11-20,false,"빛의 수호자: 항해은(는) thriller 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0084,Lumenward Protocol,빛의 수호자: 규약,2016-12-26,2016,Science Fiction,Romance,KR,ko,149,18+,Mina Bora,Blue Lantern Works,41160817,133277117,2026-01-15,false,"빛의 수호자: 규약은(는) science fiction 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0085,Lumenward Garden,빛의 수호자: 정원,1995-06-21,1995,Romance,Documentary,GB,en,126,7+,Jun Voss,Northstar Fiction,53779859,323318961,2026-03-18,false,"빛의 수호자: 정원은(는) romance 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0086,Lumenward Paradox,빛의 수호자: 역설,1998-08-12,1998,Action,Romance,CA,en,131,7+,Lea Calder,Blue Lantern Works,49533984,185389785,2023-01-18,false,"빛의 수호자: 역설은(는) action 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0087,Lumenward Chronicle,빛의 수호자: 연대기,2024-10-01,2024,Documentary,Drama,BR,pt,98,18+,Tomas Ren,Copper Kite Media,5877350,29710742,2024-10-01,true,"빛의 수호자: 연대기은(는) documentary 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0088,Lumenward Constellation,빛의 수호자: 별자리,2007-08-09,2007,Animation,Science Fiction,JP,ja,102,15+,Nora Mirel,Mosaic Frame Lab,52638087,242803252,2021-09-29,false,"빛의 수호자: 별자리은(는) animation 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
MOV0089,Lumenward Reverie,빛의 수호자: 몽상,2006-07-24,2006,Fantasy,Science Fiction,DE,de,130,7+,Ishan Vale,Riverglass Pictures,27465606,62574878,2025-01-14,false,"빛의 수호자: 몽상은(는) fantasy 장르의 이야기로, 낯선 선택이 한 공동체의 미래를 바꾸는 과정을 그린다."
